Unnamed: 0,p1,p3,p2
1 days 12:00:00,103.63,113.31,41.06
1 days 12:15:00,103.63,113.3,41.02
1 days 12:30:00,103.63,113.29,41.15
1 days 12:45:00,103.64,113.27,40.97
1 days 13:00:00,103.64,113.3,41.11
1 days 13:15:00,103.64,113.3,41.1
1 days 13:30:00,103.63,113.3,41.12
1 days 13:45:00,103.64,113.3,41.21
1 days 14:00:00,103.64,113.28,41.09
1 days 14:15:00,103.64,113.28,41.13
1 days 14:30:00,103.64,113.3,41.13
1 days 14:45:00,103.64,113.3,41.17
1 days 15:00:00,103.64,113.31,41.21
1 days 15:15:00,103.64,113.29,41.19
1 days 15:30:00,103.64,113.3,41.27
1 days 15:45:00,103.65,113.3,41.22
1 days 16:00:00,103.64,113.23,40.99
1 days 16:15:00,103.64,113.29,41.16
1 days 16:30:00,103.64,113.3,41.25
1 days 16:45:00,103.64,113.26,41.17
1 days 17:00:00,103.65,113.26,41.15
1 days 17:15:00,103.64,113.27,41.07
1 days 17:30:00,103.64,113.3,41.18
1 days 17:45:00,103.64,113.25,41.13
1 days 18:00:00,103.64,113.29,41.12
1 days 18:15:00,103.64,113.28,41.15
1 days 18:30:00,103.64,113.28,41.17
1 days 18:45:00,103.65,113.31,41.29
1 days 19:00:00,103.65,113.27,41.22
1 days 19:15:00,103.65,113.28,41.39
1 days 19:30:00,103.65,113.3,41.39
1 days 19:45:00,103.65,113.3,41.38
1 days 20:00:00,103.66,113.3,41.37
1 days 20:15:00,103.66,113.3,41.41
1 days 20:30:00,103.66,113.3,41.43
1 days 20:45:00,103.65,113.29,41.33
1 days 21:00:00,103.65,113.31,41.36
1 days 21:15:00,103.65,113.3,41.4
1 days 21:30:00,103.65,113.31,41.45
1 days 21:45:00,103.65,113.31,41.5
1 days 22:00:00,103.66,113.32,41.54
1 days 22:15:00,103.66,113.32,41.51
1 days 22:30:00,103.66,113.32,41.53
1 days 22:45:00,103.66,113.32,41.55
1 days 23:00:00,103.66,113.32,41.59
1 days 23:15:00,103.66,113.32,41.64
1 days 23:30:00,103.66,113.32,41.63
1 days 23:45:00,103.66,113.32,41.65
2 days 00:00:00,103.66,113.32,41.65
2 days 00:15:00,103.66,113.32,41.65
2 days 00:30:00,103.66,113.32,41.65
2 days 00:45:00,103.66,113.32,41.67
2 days 01:00:00,103.66,113.32,41.65
2 days 01:15:00,103.66,113.32,41.67
2 days 01:30:00,103.66,113.32,41.67
2 days 01:45:00,103.66,113.32,41.68
2 days 02:00:00,103.66,113.32,41.66
2 days 02:15:00,103.66,113.32,41.68
2 days 02:30:00,103.66,113.32,41.67
2 days 02:45:00,103.66,113.32,41.67
2 days 03:00:00,103.66,113.32,41.65
2 days 03:15:00,103.66,113.32,41.65
2 days 03:30:00,103.66,113.32,41.64
2 days 03:45:00,103.66,113.32,41.63
2 days 04:00:00,103.66,113.32,41.62
2 days 04:15:00,103.66,113.32,41.6
2 days 04:30:00,103.66,113.32,41.61
2 days 04:45:00,103.66,113.32,41.58
2 days 05:00:00,103.66,113.31,41.49
2 days 05:15:00,103.65,113.31,41.46
2 days 05:30:00,103.65,113.32,41.44
2 days 05:45:00,103.65,113.3,41.4
2 days 06:00:00,103.65,113.3,41.37
2 days 06:15:00,103.65,113.3,41.3
2 days 06:30:00,103.65,113.3,41.29
2 days 06:45:00,103.65,113.31,41.38
2 days 07:00:00,103.65,113.29,41.26
2 days 07:15:00,103.64,113.3,41.22
2 days 07:30:00,103.64,113.3,41.2
2 days 07:45:00,103.64,113.3,41.17
2 days 08:00:00,103.64,113.29,41.08
2 days 08:15:00,103.64,113.27,41.12
2 days 08:30:00,103.64,113.3,40.97
2 days 08:45:00,103.64,113.27,40.96
2 days 09:00:00,103.64,113.28,40.95
2 days 09:15:00,103.64,113.28,41.05
2 days 09:30:00,103.64,113.29,41.14
2 days 09:45:00,103.64,113.3,41.16
2 days 10:00:00,103.65,113.3,41.11
2 days 10:15:00,103.64,113.28,40.99
2 days 10:30:00,103.64,113.26,41.06
2 days 10:45:00,103.65,113.28,41.1
2 days 11:00:00,103.65,113.3,41.24
2 days 11:15:00,103.64,113.29,41.13
2 days 11:30:00,103.64,113.29,41.07
2 days 11:45:00,103.64,113.29,41.18
2 days 12:00:00,103.65,113.31,41.21
2 days 12:15:00,103.65,113.3,41.19
2 days 12:30:00,103.65,113.27,41.24
2 days 12:45:00,103.64,113.27,41.19
2 days 13:00:00,103.65,113.28,41.18
2 days 13:15:00,103.65,113.31,41.34
2 days 13:30:00,103.65,113.3,41.33
2 days 13:45:00,103.64,113.31,41.36
2 days 14:00:00,103.65,113.31,41.3
2 days 14:15:00,103.64,113.31,41.23
2 days 14:30:00,103.65,113.31,41.33
2 days 14:45:00,103.65,113.31,41.37
2 days 15:00:00,103.65,113.3,41.32
2 days 15:15:00,103.65,113.3,41.36
2 days 15:30:00,103.65,113.3,41.3
2 days 15:45:00,103.65,113.29,41.3
2 days 16:00:00,103.65,113.28,41.18
2 days 16:15:00,103.64,113.26,41.12
2 days 16:30:00,103.64,113.28,41.12
2 days 16:45:00,103.64,113.28,41.19
